transcript_id,token,label
T0001,I,O
T0001,am,O
T0001,a,O
T0001,60,B-AGE
T0001,year,O
T0001,old,O
T0001,male,B-GENDER
T0001,berojgar,B-OCCUPATION
T0001,living,O
T0001,in,O
T0001,Madhya,B-STATE
T0001,Pradesh,I-STATE
T0001,My,O
T0001,annual,O
T0001,household,O
T0001,income,O
T0001,is,O
T0001,120000,B-ANNUAL_INCOME
T0001,rupees,O
T0002,Main,O
T0002,Uttar,B-STATE
T0002,Pradesh,I-STATE
T0002,se,O
T0002,ek,O
T0002,daily,B-OCCUPATION
T0002,wage,I-OCCUPATION
T0002,worker,I-OCCUPATION
T0002,hu,O
T0002,meri,O
T0002,umar,O
T0002,26,B-AGE
T0002,saal,O
T0002,hai,O
T0002,aur,O
T0002,saalana,O
T0002,kamai,O
T0002,45000,B-ANNUAL_INCOME
T0002,rupe,O
T0002,hai,O
T0003,I,O
T0003,am,O
T0003,a,O
T0003,61,B-AGE
T0003,year,O
T0003,old,O
T0003,female,B-GENDER
T0003,unemployed,B-OCCUPATION
T0003,living,O
T0003,in,O
T0003,Maharashtra,B-STATE
T0003,My,O
T0003,annual,O
T0003,household,O
T0003,income,O
T0003,is,O
T0003,350000,B-ANNUAL_INCOME
T0003,rupees,O
T0004,Namaste,O
T0004,main,O
T0004,25,B-AGE
T0004,varsh,O
T0004,ka,O
T0004,berojgar,B-OCCUPATION
T0004,hu,O
T0004,West,B-STATE
T0004,Bengal,I-STATE
T0004,se,O
T0004,Meri,O
T0004,income,O
T0004,0,B-ANNUAL_INCOME
T0004,rupaye,O
T0004,hai,O
T0004,aur,O
T0004,main,O
T0004,General,B-CASTE_CATEGORY
T0004,varg,O
T0004,se,O
T0004,hoon,O
T0004,Main,O
T0004,divyang,B-DISABILITY
T0004,hu,O
T0005,Hi,O
T0005,I,O
T0005,am,O
T0005,33,B-AGE
T0005,years,O
T0005,old,O
T0005,student,O
T0005,from,O
T0005,Maharashtra,B-STATE
T0005,My,O
T0005,family,O
T0005,income,O
T0005,is,O
T0005,45000,B-ANNUAL_INCOME
T0005,and,O
T0005,I,O
T0005,am,O
T0005,differently,B-DISABILITY
T0005,abled,I-DISABILITY
T0006,Namaste,O
T0006,main,O
T0006,34,B-AGE
T0006,varsh,O
T0006,ka,O
T0006,berojgar,B-OCCUPATION
T0006,hu,O
T0006,Uttar,B-STATE
T0006,Pradesh,I-STATE
T0006,se,O
T0006,Meri,O
T0006,income,O
T0006,45000,B-ANNUAL_INCOME
T0006,rupaye,O
T0006,hai,O
T0006,aur,O
T0006,main,O
T0006,ST,B-CASTE_CATEGORY
T0006,varg,O
T0006,se,O
T0006,hoon,O
T0006,Main,O
T0006,divyang,B-DISABILITY
T0006,hu,O
T0007,Namaste,O
T0007,main,O
T0007,63,B-AGE
T0007,varsh,O
T0007,ka,O
T0007,farmer,B-OCCUPATION
T0007,hu,O
T0007,Bihar,B-STATE
T0007,se,O
T0007,Meri,O
T0007,income,O
T0007,200000,B-ANNUAL_INCOME
T0007,rupaye,O
T0007,hai,O
T0007,aur,O
T0007,main,O
T0007,General,B-CASTE_CATEGORY
T0007,varg,O
T0007,se,O
T0007,hoon,O
T0007,Main,O
T0007,divyang,B-DISABILITY
T0007,hu,O
T0008,I,O
T0008,am,O
T0008,a,O
T0008,25,B-AGE
T0008,year,O
T0008,old,O
