Scheme Name,Eligible Categories,Eligible Genders,Max Income,Age Range,Disability Required,Rural Only,Business Types
"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",ANY,ANY,No cap / not found,Not found,No,No,MSME
"""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",ANY,ANY,No cap / not found,Not found,No,No,"services, MSME"
"""Assistance for Technology Acquisition"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""","SC, ST",female,No cap / not found,Not found,No,No,MSME
"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,Yes,No,ANY
"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme",ANY,female,No cap / not found,Not found,No,No,manufacturing
"""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",ANY,ANY,No cap / not found,Not found,No,No,MSME
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Exhibition"" Component of the ""Development Of Handicrafts"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,handicraft
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",ANY,ANY,No cap / not found,Not found,No,No,MSME
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services"
"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,handicraft
"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",ANY,ANY,"₹100,000",Not found,No,No,ANY
"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,handicraft
"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,handicraft
"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services"
